order_id,order_date,state,region,platform,category,product_name,unit_price,quantity,discount_pct,total_amount,payment_method,customer_age,customer_gender,customer_segment,rating,delivery_days,returned
ORD-100000,2023-01-01,Kaduna,North-West,Konga,Sports,Adidas Running Sneakers,42296.31,5,0,211481.55,POS,34.0,Female,VIP,,1.0,False
ORD-100001,2023-01-02,Rivers,South-South,Jiji,Furniture,6ft Orthopedic Mattress,416925.98,2,5,792159.36,Bank Transfer,63.0,Male,Premium,5.0,6.0,True
ORD-100002,2023-01-03,Oyo,South-West,Flutterwave Store,Furniture,6ft Orthopedic Mattress,197453.13,4,15,671340.64,POS,60.0,Female,Premium,5.0,9.0,False
ORD-100003,2023-01-05,Kaduna,North-West,Konga,Beauty,Maybelline Mascara,1628.32,4,20,5210.62,Pay on Delivery,51.0,Male,Regular,3.0,3.0,False
ORD-100004,2023-01-06,Kano,North-West,Konga,Sports,Football Jersey Nigeria,100186.58,3,0,300559.74,Card,45.0,Female,New,5.0,6.0,False
ORD-100005,2023-01-08,Enugu,South-East,Konga,Electronics,Hisense Chest Freezer,130639.37,2,5,248214.8,Card,64.0,Female,Regular,5.0,3.0,False
ORD-100006,2023-01-09,Oyo,South-West,Flutterwave Store,Beauty,MAC Foundation Stick,19526.8,1,0,19526.8,USSD,48.0,Male,Regular,1.0,13.0,True
ORD-100007,2023-01-11,Oyo,South-West,Jumia,Groceries,Titus Sardine 50pcs,3220.68,2,20,5153.09,USSD,33.0,Female,Regular,4.0,1.0,False
ORD-100008,2023-01-12,Kaduna,North-West,WhatsApp Commerce,Beauty,Maybelline Mascara,21637.85,2,15,36784.34,USSD,64.0,Male,Regular,3.0,13.0,False
ORD-100009,2023-01-14,Abuja,North-Central,Jiji,Fashion,Female Aso-Oke,11829.2,1,0,11829.2,Bank Transfer,43.0,Male,VIP,1.0,12.0,False
ORD-100010,2023-01-15,Kano,North-West,Jumia,Electronics,Hisense Chest Freezer,341473.33,3,15,870756.99,Pay on Delivery,62.0,Male,VIP,4.0,5.0,True
ORD-100011,2023-01-17,Kaduna,North-West,Jiji,Fashion,Men Agbada Set,35639.75,1,0,35639.75,Pay on Delivery,26.0,Male,New,1.0,10.0,False
ORD-100012,2023-01-18,Kano,North-West,WhatsApp Commerce,Sports,Treadmill Manual,16365.84,1,20,13092.67,Pay on Delivery,60.0,Male,Regular,1.0,13.0,False
ORD-100013,2023-01-20,Kano,North-West,Flutterwave Store,Phones & Tablets,Xiaomi Redmi Note 13,467819.11,4,15,1590584.97,Pay on Delivery,48.0,Female,VIP,5.0,11.0,False
ORD-100014,2023-01-21,Enugu,South-East,Konga,Fashion,Ankara Midi Dress,44378.11,2,5,84318.41,USSD,32.0,Male,New,4.0,4.0,False
ORD-100015,2023-01-22,Oyo,South-West,Konga,Groceries,Golden Penny Rice 25kg,4032.99,2,10,7259.38,Card,21.0,Male,Regular,3.0,7.0,True
ORD-100016,2023-01-24,Rivers,South-South,Flutterwave Store,Beauty,Nivea Fair & Lovely,5206.99,1,5,4946.64,USSD,19.0,Male,Premium,3.0,6.0,False
ORD-100017,2023-01-25,Enugu,South-East,Jumia,Phones & Tablets,Tecno Spark 20 Pro,405855.45,2,0,811710.9,Pay on Delivery,35.0,Male,VIP,4.0,10.0,False
ORD-100018,2023-01-27,Enugu,South-East,Jumia,Beauty,Dark & Lovely Relaxer,13201.48,1,5,12541.41,USSD,63.0,Male,New,5.0,7.0,False
ORD-100019,2023-01-28,Kano,North-West,Jiji,Fashion,Female Gele Headtie,34021.7,4,20,108869.44,Pay on Delivery,62.0,Male,Premium,2.0,5.0,False
ORD-100020,2023-01-30,Delta,South-South,Flutterwave Store,Beauty,Maybelline Mascara,17712.07,1,0,17712.07,POS,42.0,Female,Regular,1.0,4.0,False
ORD-100021,2023-01-31,Oyo,South-West,Jumia,Sports,Adidas Running Sneakers,50098.36,3,0,150295.08,Card,30.0,Female,Regular,5.0,7.0,True
ORD-100022,2023-02-02,Abuja,North-Central,Flutterwave Store,Phones & Tablets,Infinix Hot 40 Pro,201787.68,2,15,343039.06,POS,21.0,Male,Regular,4.0,7.0,False
ORD-100023,2023-02-03,Enugu,South-East,WhatsApp Commerce,Sports,Kettlebell 20kg,78471.34,2,0,156942.68,Bank Transfer,62.0,Female,VIP,,6.0,False
ORD-100024,2023-02-05,Rivers,South-South,Konga,Fashion,Ankara Midi Dress,20422.42,1,10,18380.18,USSD,29.0,Male,New,3.0,8.0,False
ORD-100025,2023-02-06,Delta,South-South,Konga,Sports,Treadmill Manual,18476.32,2,0,36952.64,Bank Transfer,26.0,Male,Premium,2.0,4.0,True
ORD-100026,2023-02-08,Delta,South-South,Konga,Groceries,Titus Sardine 50pcs,7254.29,1,15,6166.15,USSD,54.0,Male,New,,10.0,False
